"filename", "language", "C#", "comment", "blank", "total"
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\PauseScreen.cs", "C#", 29, 0, 5, 34
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\AIBar.cs", "C#", 22, 0, 3, 25
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\Ball.cs", "C#", 31, 0, 4, 35
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\BallSlider.cs", "C#", 33, 0, 5, 38
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\DeadLine.cs", "C#", 16, 0, 1, 17
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\BallEventArg.cs", "C#", 15, 0, 1, 16
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\CustomEvent.cs", "C#", 50, 0, 11, 61
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\DamageEventArg.cs", "C#", 15, 0, 1, 16
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\EventManager.cs", "C#", 18, 0, 6, 24
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\EventName.cs", "C#", 7, 0, 1, 8
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\GameEventArg.cs", "C#", 9, 0, 1, 10
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\GameState.cs", "C#", 9, 0, 0, 9
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\IEvent.cs", "C#", 5, 0, 0, 5
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\IEventArg.cs", "C#", 3, 0, 1, 4
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\EventSystem\IEventListener.cs", "C#", 5, 0, 0, 5
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\GateIndicator.cs", "C#", 88, 0, 13, 101
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\LifeArea.cs", "C#", 11, 0, 2, 13
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\QPInputUtility.cs", "C#", 10, 0, 2, 12
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\QPongConfig.cs", "C#", 18, 3, 3, 24
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\QPongManager.cs", "C#", 61, 0, 12, 73
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\QPongMaterialModifier.cs", "C#", 18, 0, 1, 19
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\QuanticBall.cs", "C#", 8, 1, 1, 10
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QPong\Scripts\QPong\SliderState.cs", "C#", 6, 0, 0, 6
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\CircuitMeasurementResult.cs", "C#", 92, 11, 15, 118
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Config\CircuitConfig.cs", "C#", 11, 0, 1, 12
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Config\GateSetting.cs", "C#", 10, 0, 3, 13
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Gates.cs", "C#", 12, 0, 0, 12
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Input\InputID.cs", "C#", 14, 0, 0, 14
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Input\KeyBind.cs", "C#", 11, 0, 1, 12
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Internal\QASMComunicator.cs", "C#", 128, 0, 29, 157
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\QiskitTestor.cs", "C#", 46, 0, 13, 59
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\QuantumCircuit.cs", "C#", 69, 14, 12, 95
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\UI\Cursor.cs", "C#", 10, 0, 4, 14
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\UI\GUIConfig.cs", "C#", 15, 0, 2, 17
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\UI\InputBar.cs", "C#", 4, 0, 2, 6
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\UI\QiskitGUI.cs", "C#", 163, 1, 22, 186
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Utility\CircuitBuilder.cs", "C#", 94, 0, 12, 106
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\QiskitUtilizer\Utility\CircuitProvider.cs", "C#", 21, 6, 3, 30
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\BitFlagSolver.cs", "C#", 14, 0, 3, 17
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\ITask.cs", "C#", 8, 0, 1, 9
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\JobTask.cs", "C#", 10, 0, 1, 11
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\SerializableDictionary.cs", "C#", 76, 0, 14, 90
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\SingleScriptableObject.cs", "C#", 38, 0, 6, 44
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\Singleton.cs", "C#", 27, 1, 5, 33
"d:\UnityProjects\QiskitUtilityPlugin\Assets\Plugins\QiskitUtilityAsset\Scripts\Utility\SmallTask.cs", "C#", 16, 0, 2, 18
"Total", "-", 1376, 37, 225, 1638